run_id,date,status,stage,method,label_ratio,seed,variant,backbone,crop_size,config_path,git_commit,command,validation_miou9,test_miou9,affected_miou,state_f1,boundary_f1,pseudo_miou,coverage,peak_vram_gb,checkpoint_path,output_path,notes
20260625_data_audit_na_s0_mask_pairing_failed,2026-06-25,failed,M1,data_audit,NA,0,mask_pairing,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\audit_floodnet.py --data-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --output-dir 'reports\floodnet_track1_audit_v1',,,,,,,,,,reports/floodnet_track1_audit_v1,Failed safely before report generation: masks use ID_lab.png rather than ID.png; pairing logic was corrected without modifying data.
20260625_data_audit_na_s0_dimension_gate_failed,2026-06-25,failed,M1,data_audit,NA,0,dimension_gate,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\audit_floodnet.py --data-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --output-dir 'reports\floodnet_track1_audit_v1',,,,,,,,,,reports/floodnet_track1_audit_v1,Failed safely on the previous equal-dimension assumption: 59 labeled JPGs are 4592x3072 while masks are 4000x3000; D025 records mask-grid alignment.
20260625_data_audit_na_s0_track1_v1,2026-06-25,completed,M1,data_audit,NA,0,track1_v1,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\audit_floodnet.py --data-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --output-dir 'reports\floodnet_track1_audit_v1',,,,,,,,,,reports/floodnet_track1_audit_v1,"Passed: 398 labeled, 1047 unlabeled, 450 official validation, 448 official test; zero exact duplicates; three reviewed same-scene candidates; inventory semantic SHA-256 47cd4ff39c2a5ab551434a58ddbe04ef0db14842d50befaba4ada3a9b1be2322."
20260625_split_100_s20260624_local_v1,2026-06-25,completed,M1,data_split,100,20260624,local_278_60_60_v1,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\create_local_split.py --inventory 'reports\floodnet_track1_audit_v1\inventory.csv' --near-duplicate-review 'reports\floodnet_track1_audit_v1\near_duplicate_candidates.csv' --output-dir 'splits\local_278_60_60_v1',,,,,,,,,,splits/local_278_60_60_v1,Passed: exact 278/60/60 disjoint split; 7049/7050 grouped; 7081/7083 forced to Local Train due overlap with official-unlabeled 7082; manifest SHA-256 4bed3f9acccbf40572e3f5d10e9292f4598816e4dd97668abf0fe13580c96f4b.
20260625_week1_local_tests_na_s0_aug_inference_v1,2026-06-25,completed,M1,unit_tests,NA,0,augmentation_sliding_window_v1,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,,"Passed 23 tests covering archive safety, audit, split, Dataset alignment, metrics, paired transforms, class-aware crop, sliding coverage and probability fusion."
20260625_data_smoke_100_s20260625_local_v1,2026-06-25,completed,M1,data_smoke,100,20260625,three_split_cpu_v1,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\smoke_data_pipeline.py --data-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --manifest 'splits\local_278_60_60_v1\manifest.csv' --output 'reports\week1_data_smoke_v1.json' --crop-size 512 --batch-size 2 --seed 20260625,,,,,,,,,,reports/week1_data_smoke_v1.json,Passed CPU DataLoader smoke for train/validation/test with float32 RGB batches and int64 masks at 512x512; no training or model forward.
20260625_environment_audit_na_s0_cpu_local,2026-06-25,completed,M1,environment_audit,NA,0,cpu_local,NA,NA,,60b2143+dirty,"& 'D:\Anaconda3\python.exe' -c ""import importlib.util, torch; ...""",,,,,,,,,,reports/week1_environment_audit.md,"CPU-only PyTorch 2.3.0; transformers, safetensors and accelerate absent; no local SegFormer-B0 cache; no packages or weights downloaded."
20260625_overfit_manifest_100_s20260625_per_image_affected_failed,2026-06-25,failed,M1,overfit_manifest,100,20260625,per_image_affected_constraint,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\create_overfit_manifest.py --inventory 'reports\floodnet_track1_audit_v1\inventory.csv' --local-train 'splits\local_278_60_60_v1\train.csv' --output-dir 'splits\overfit4_v1',,,,,,,,,,splits/overfit4_v1,Failed safely before output creation: an unnecessary per-image affected-class constraint conflicted with selecting one background/water sample for all-ten-class coverage; corrected to require affected classes across the four-image set.
20260625_overfit_manifest_100_s20260625_all_classes_v1,2026-06-25,completed,M1,overfit_manifest,100,20260625,all_classes_v1,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\create_overfit_manifest.py --inventory 'reports\floodnet_track1_audit_v1\inventory.csv' --local-train 'splits\local_278_60_60_v1\train.csv' --output-dir 'splits\overfit4_v1',,,,,,,,,,splits/overfit4_v1,"Selected Local Train IDs 7298, 9027, 7261 and 7332; the four-image set covers all ten semantic classes including affected IDs 1 and 3."
20260625_training_framework_na_s0_supervised_v1,2026-06-25,completed,M1,unit_tests,NA,0,supervised_framework_v1,SegFormer-B0,512,configs/overfit4_segformer_b0.yaml,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,,"Passed 30 tests including config validation, deterministic overfit crop, toy-model backward/optimizer/checkpoint, objective gate, dependency error, data, metrics and sliding inference; no FloodNet training."
20260625_training_preflight_100_s20260625_missing_transformers,2026-06-25,interrupted,M1,training_preflight,100,20260625,overfit4_cpu,SegFormer-B0,512,configs/overfit4_segformer_b0.yaml,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\check_training_prereqs.py --config 'configs\overfit4_segformer_b0.yaml' --output 'reports\training_preflight_overfit4_v1.json',,,,,,,,,,reports/training_preflight_overfit4_v1.json,"Preflight correctly blocked execution because transformers is not installed; CPU device, four-row manifest and random initialization require no CUDA or pretrained weights."
20260625_overfit_manifest_100_s20260625_fixed_crops_v1,2026-06-25,completed,M1,overfit_manifest,100,20260625,fixed_crops_all_classes_v1,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\create_overfit_manifest.py --inventory 'reports\floodnet_track1_audit_v1\inventory.csv' --local-train 'splits\local_278_60_60_v1\train.csv' --data-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --output-dir 'splits\overfit4_v1',,,,,,,,,,splits/overfit4_v1,"Supersedes the image-level selection: explicit crops from IDs 7364, 9040, 9365 and 9351 jointly contain class IDs 0-9 and are read directly from manifest coordinates."
20260625_training_framework_na_s0_fixed_crop_v2,2026-06-25,completed,M1,unit_tests,NA,0,supervised_framework_fixed_crop_v2,SegFormer-B0,512,configs/overfit4_segformer_b0.yaml,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,,"Passed 31 tests; adds manifest-coordinate crop validation while retaining toy-model backward, optimizer, checkpoint and objective gate coverage. No FloodNet training."
20260625_training_preflight_100_s20260625_fixed_crops_v2,2026-06-25,interrupted,M1,training_preflight,100,20260625,overfit4_fixed_crops_cpu,SegFormer-B0,512,configs/overfit4_segformer_b0.yaml,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\check_training_prereqs.py --config 'configs\overfit4_segformer_b0.yaml' --output 'reports\training_preflight_overfit4_v2.json',,,,,,,,,,reports/training_preflight_overfit4_v2.json,Canonical fixed-crop manifest has four rows and CPU configuration is valid; execution remains blocked only because transformers is not installed. No training started.
20260627_week1_local_tests_na_s0_fixed_crop_v3,2026-06-27,completed,M1,unit_tests,NA,0,fixed_crop_v3,SegFormer-B0,512,configs/overfit4_segformer_b0.yaml,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,,"Passed 31 tests in 6.563s covering archive safety, audit, split, Dataset alignment, metrics, paired transforms, sliding-window inference, config validation and supervised training utilities. No FloodNet training."
20260627_training_preflight_100_s20260625_fixed_crops_v3,2026-06-27,interrupted,M1,training_preflight,100,20260625,overfit4_fixed_crops_cpu_v3,SegFormer-B0,512,configs/overfit4_segformer_b0.yaml,60b2143+dirty,$env:FLOODNET_DATA_ROOT='F:\数据集\Flood\FloodNet_Track1_Merged'; & 'D:\Anaconda3\python.exe' scripts\check_training_prereqs.py --config 'configs\overfit4_segformer_b0.yaml' --output 'reports\training_preflight_overfit4_v3.json',,,,,,,,,,reports/training_preflight_overfit4_v3.json,"Preflight wrote v3 report and correctly returned ready=false: CPU config, four-row manifest and data root are valid; only blocker remains missing dependency transformers. No training started."
20260627_network_skeleton_na_s0_model_factory_v1,2026-06-27,completed,M1,network_skeleton,NA,0,model_factory_v1,SegFormer-B0,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m compileall -q floodnet_ssl scripts tests; & 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,,"Implemented SegmentationModelOutput, build_model factory, default-disabled auxiliary multi-head skeleton and train_supervised factory dispatch; passed 36 tests. No dependency install, no F-drive write and no training."
20260627_server_scripts_na_s0_eval_summary_v1,2026-06-27,completed,M1,server_scripts,NA,0,eval_summary_v1,SegFormer-B0,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m compileall -q floodnet_ssl scripts tests; & 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,docs/server_training_quickstart.md,"Added read-only server environment check, checkpoint sliding-window evaluation, run summarization, training runtime metadata and server quickstart docs; passed 39 tests. No dependency install, no F-drive write and no training."
20260702_data_audit_na_s0_supervised_v1,2026-07-02,completed,M1,data_audit,NA,0,supervised_v1,NA,NA,,60b2143+dirty,read-only audit of F:\FloodNet\FloodNet-Supervised_v1.0,,,,,,,,,,reports/floodnet_supervised_v1_audit,"Passed: official supervised split has 1445 train, 450 validation and 448 test images; all have paired single-channel *_lab.png masks; no cross-split ID overlap in audit."
20260702_split_100_s0_supervised_official_v1,2026-07-02,completed,M1,data_manifest,100,0,official_supervised_v1,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\create_supervised_manifest.py --data-root 'F:\FloodNet' --output-dir 'splits\floodnet_supervised_v1',,,,,,,,,,splits/floodnet_supervised_v1,"Generated official supervised manifest: train 1445, validation 450, test 448; manifest SHA-256 fb3c0295bb7113923f8c0d9564bb52fe0155d612eeb26094221d92ed179799ba."
20260702_data_smoke_100_s20260702_supervised_v1,2026-07-02,completed,M1,data_smoke,100,20260702,official_supervised_v1,NA,512,,60b2143+dirty,& 'D:\Anaconda3\python.exe' scripts\smoke_data_pipeline.py --data-root 'F:\FloodNet' --manifest 'splits\floodnet_supervised_v1\manifest.csv' --output 'reports\week1_data_smoke_supervised_v1.json' --crop-size 512 --batch-size 2 --seed 20260702,,,,,,,,,,reports/week1_data_smoke_supervised_v1.json,Passed CPU DataLoader smoke for official train/validation/test with dataset sizes 1445/450/448; no training or model forward.
20260702_training_preflight_100_s20260625_supervised_overfit4_v1,2026-07-02,interrupted,M1,training_preflight,100,20260625,overfit4_supervised_v1,SegFormer-B0,512,configs/overfit4_segformer_b0.yaml,60b2143+dirty,$env:FLOODNET_DATA_ROOT='F:\FloodNet'; & 'D:\Anaconda3\python.exe' scripts\check_training_prereqs.py --config 'configs\overfit4_segformer_b0.yaml' --output 'reports\training_preflight_overfit4_supervised_v1.json',,,,,,,,,,reports/training_preflight_overfit4_supervised_v1.json,New supervised overfit manifest has four rows and covers classes 0-9; preflight remains blocked only by missing transformers. No training started.
20260702_week1_local_tests_na_s0_supervised_manifest_v1,2026-07-02,completed,M1,local_tests,NA,0,supervised_manifest_v1,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,tests,"Passed 42 unit tests, including new supervised-v1 root resolution and official manifest pairing tests. No training started."
20260702_training_preflight_100_s20260702_supervised_overfit4_v2,2026-07-02,interrupted,M1,training_preflight,100,20260702,overfit4_supervised_v2,SegFormer-B0,512,configs/overfit4_segformer_b0.yaml,60b2143+dirty,$env:FLOODNET_DATA_ROOT='F:\FloodNet'; & 'D:\Anaconda3\python.exe' scripts\check_training_prereqs.py --config 'configs\overfit4_segformer_b0.yaml' --output 'reports\training_preflight_overfit4_supervised_v2.json',,,,,,,,,,reports/training_preflight_overfit4_supervised_v2.json,Preflight resolved F:\FloodNet to FloodNet-Supervised_v1.0 and read the four-row supervised overfit manifest; ready=false only because transformers is not installed. No training started.
20260702_split_100_s0_sup398_full1445_protocol_v1,2026-07-02,completed,M1,data_manifest,100,0,sup398_full1445_protocol_v1,NA,NA,,60b2143+dirty,& 'D:\Anaconda3\python.exe' tools\build_floodnet_splits.py --supervised-root 'F:\FloodNet' --challenge-root 'F:\数据集\Flood\FloodNet_Track1_Merged' --output-dir splits,,,,,,,,,,splits,"Generated required txt lists and protocol manifests; counts passed: labeled 398, unlabeled 1047, full train 1445, val 450, test 448; labeled/unlabeled disjoint and union equals full train. No training started."
20260702_unit_tests_na_s0_sup398_full1445_entrypoints_v1,2026-07-02,completed,M1,unit_tests,NA,0,entrypoints_protocols_losses_v1,SegFormer-B0,512,configs/segformer_b0_sup398.yaml;configs/segformer_b0_full1445.yaml,60b2143+dirty,& 'D:\Anaconda3\python.exe' -m compileall -q floodnet_ssl scripts tools tests train.py evaluate.py; & 'D:\Anaconda3\python.exe' -m unittest discover -s tests -v,,,,,,,,,,tests,"Passed compile and 49 unit tests covering protocol split generation, RGB/RGBA mask reading, CE+Dice loss, metrics, dataset, transforms, inference and training utilities. No training started."
20260702_entrypoint_dryrun_100_s20260702_sup398_full1445_v1,2026-07-02,completed,M1,entrypoint_smoke,100,20260702,train_eval_dryrun_v1,SegFormer-B0,512,configs/segformer_b0_sup398.yaml;configs/segformer_b0_full1445.yaml,60b2143+dirty,train.py --dry-run for sup398/full1445; evaluate.py --dry-run for sup398 validation; smoke_data_pipeline.py for sup398/full1445 manifests,,,,,,,,,,reports/sup398_data_smoke.json;reports/full1445_data_smoke.json,Dry-run confirmed sup398 train=398/val=450 and full1445 train=1445/val=450; DataLoader smoke passed for train/validation/test. Real SegFormer forward not run locally because transformers and safetensors are not installed.
20260702_config_audit_na_s20260702_sup398_full1445_unified_v1,2026-07-02,completed,M1,config_audit,NA,20260702,sup398_full1445_unified_training_v1,SegFormer-B0,512,configs/segformer_b0_sup398.yaml;configs/segformer_b0_full1445.yaml,60b2143+dirty,compileall; unittest discover; train.py --dry-run for sup398/full1445; evaluate.py --dry-run for sup398 validation,,,,,,,,,,docs/EXPERIMENT_PROTOCOL.md;docs/EXPERIMENT_LOG.md;README.md,"Unified configs except allowed experiment/protocol/train-manifest fields: max_iterations 40000 optimizer steps, val_interval 2000, effective batch size 8, AdamW lr 6e-5, poly scheduler, warmup 1000, grad clip 1.0, CE+Dice, class-aware crop disabled, local_files_only=false. Passed 51 tests and dry-runs; no training results produced."
20260702_unit_tests_na_s20260702_state_factorization_branch,2026-07-02,completed,module_scaffold,unit_tests,NA,20260702,state_factorization_branch,SegFormer-B0,512,configs/segformer_b0_sup398_state_factorization.yaml,8332c34,python -m unittest discover -s tests -v,,,,,,,,,,tests,"Passed 56 unit tests on exp/state-factorization; no training started."
20260702_unit_tests_na_s20260702_boundary_context_branch,2026-07-02,completed,module_scaffold,unit_tests,NA,20260702,boundary_context_branch,SegFormer-B0,512,configs/segformer_b0_sup398_boundary_context.yaml,dd88bff,python -m unittest discover -s tests -v,,,,,,,,,,tests,"Passed 57 unit tests on exp/boundary-context; no training started."
20260702_unit_tests_na_s20260702_structure_pl_branch,2026-07-02,completed,module_scaffold,unit_tests,NA,20260702,structure_aware_pl_branch,SegFormer-B0,512,configs/segformer_b0_ssl398_1047_structure_pl.yaml,a39ce76,python -m unittest discover -s tests -v,,,,,,,,,,tests,"Passed 58 unit tests on exp/structure-aware-pl; no training started."
segformer_b0_sup398_s20260702,2026-07-03,completed,M1,supervised_baseline,398,20260702,first_seed,SegFormer-B0,512,configs/segformer_b0_sup398.yaml,351c8de,python train.py --config configs/segformer_b0_sup398.yaml --supervised-root /root/autodl-tmp/data_floodnet/FloodNet/FloodNet-Supervised_v1.0,0.5531004038993853,0.5277058434970774,0.3433577505741363,0.6898617273482736,0.1636065865828598,,,,F:\floodnet_output\segformer_b0_sup398\checkpoints\best_miou.pth,F:\floodnet_output\segformer_b0_sup398,"Completed 40000 optimizer steps; best Validation mIoU-10 at iter 18000; Test evaluated once from validation-selected checkpoint."
segformer_b0_full1445_s20260702,2026-07-03,completed,M1,supervised_baseline,1445,20260702,first_seed,SegFormer-B0,512,configs/segformer_b0_full1445.yaml,351c8de,python train.py --config configs/segformer_b0_full1445.yaml --supervised-root /root/autodl-tmp/data_floodnet/FloodNet/FloodNet-Supervised_v1.0,0.6161426046342967,0.5774673091261838,0.3810412232006646,0.8048589767330251,0.16854728427522353,,,,F:\floodnet_output\segformer_b0_full1445\checkpoints\best_miou.pth,F:\floodnet_output\segformer_b0_full1445,"Completed 40000 optimizer steps; best Validation mIoU-10 at iter 32000; Test evaluated once from validation-selected checkpoint."
20260710_unit_tests_na_s20260702_conditional_state_factorization_v2,2026-07-10,completed,module_scaffold,unit_tests,NA,20260702,conditional_state_factorization_v2,SegFormer-B0,512,configs/segformer_b0_sup398_state_factorization.yaml,f67f4e3,python -m unittest discover -s tests -v; train.py --dry-run,,,,,,,,,,tests;configs/segformer_b0_sup398_state_factorization.yaml,"Passed syntax/diff checks and 62 unit tests; dry-run confirmed train=398 and validation=450. Real transformers SegFormer forward and training were not run locally."
20260710_config_audit_na_s20260702_state_s1_s4_v1,2026-07-10,completed,module_scaffold,config_audit,NA,20260702,state_s1_s4_frozen_v1,SegFormer-B0,512,configs/segformer_b0_sup398_state_s1_logit_shared.yaml;configs/segformer_b0_sup398_state_s2_feature_shared.yaml;configs/segformer_b0_sup398_state_s3_feature_conditional.yaml;configs/segformer_b0_sup398_state_factorization.yaml,76fbeb7,python -m unittest discover -s tests -v; train.py --dry-run for S1-S4,,,,,,,,,,tests;docs/experiments/state_factorization.md,"Passed 64 tests and all four dry-runs. Automated audit confirms exact sup398 parity for data, seed, base model, loss, training, and evaluation; only feature_source, state_mode, and fusion_weight vary. No training started."
20260712_pre_push_na_s20260702_state_s1_s4_v1,2026-07-12,completed,module_scaffold,pre_push_verification,NA,20260702,state_s1_s4_frozen_v1,SegFormer-B0,512,configs/segformer_b0_sup398_state_s1_logit_shared.yaml;configs/segformer_b0_sup398_state_s2_feature_shared.yaml;configs/segformer_b0_sup398_state_s3_feature_conditional.yaml;configs/segformer_b0_sup398_state_factorization.yaml,76fbeb7,python -m unittest discover -s tests -v; train.py --dry-run for S1-S4,,,,,,,,,,tests;docs/EXPERIMENT_LOG.md,"Pre-push re-verification passed 64/64 tests and all four dry-runs with train=398 and validation=450. Local and origin state-factorization heads both equal 76fbeb7. No real HuggingFace CUDA forward or training was run."
